text,language
"Ge o naganišiša ka dipotšišo tšeo, gopola gore metlwae ya Keresemose e ka fapana go ya ka mafelo ao re dulago go wona.",Northern Sotho
"Ee, tebalelo yeo e hwetšagalago ka go ba le tumelo sehlabelong sa Jesu Kriste e feta kgole kudu ka ditsela tše dintši yeo e bego e newa ka dihlabelo tšeo di bego di newa ka tlase ga Molao. - Ba - Hebere 7: 26 - 28.",Northern Sotho
"Hlokomela tlhaloso ye yeo e lego ka lengwalong la ditaba ye e ngwadilwego ke mongwadi wa Mojuda e rego: ""Go fihla ga bjale tlhaloso e bonolo bakeng sa tlaišego yeo e diregilego kua Auschwitz ke gore ga go na Modimo yo a ka tsenago ditaba tša batho gare.""",Northern Sotho
"Ye ke thuto e botse go Bakriste ka moka, kudu - kudu go banababo rena.",Northern Sotho
"Go nyakega ga ka mehla ga go nea bana meetse a therešo ya Beibele go ka se ke gwa gatelelwa ka mo go feteletšego, e lego seo se bolelago gore thuto ya Beibele ya lapa ya beke le beke e bohlokwa.",Northern Sotho
"Am geneen kureel gu feeñati ci wetu gu lamani sancu yi, mooy kureelug sang yu doxandeem yii nga xam ne ñoo tegoon loxo ci koom mi ak ci nguur gi walla àtte gi, bu ko defee tàggat doomi sancu yi ci ñu leen di ligeeyal.",Wolof
"Sang ba nag woolu jaraaf ba ne ko: ""Yaw jaraaf ju soxor nga!",Wolof
"Ki nuy wax Thomas Newman, ñëw, indi fi jumtukaayu cóolóol, James Watt, moom itam dikk, gën a defaraat jumtukaayu Thomas boobu atum 1765g, loolu waral ay soppi yu mag yu xóot ci wàllug ligeey bi, ak li nuy ligeey, ndax kat duggal gi nu duggal jumtukaay bu mekanig, bu cóolóol ci endustri ak jokkoo lu rëy a rëy la te am solo, te moo tax ba nga gis endustri tay mu toll fii mu toll.",Wolof
"Mu neeti ko ñetteel bi yoon: ""Simoŋ doomu Yowaana, bëgg nga maam?""",Wolof
"Baat jib na ci Rama, ay jooy ak yuux gu réy, Rasel mooy jooy ay doomamte bëggul kenn dëfël ko, ndaxte saay nañu.",Wolof
Kĩĩma kĩmwe nĩ ũsumbĩki mũnene wa Yeova wa tene na tene.,Kamba
"Mũsomi ũmwe wa Mbivilia aĩtye atĩĩ: ""Ndeto ya Kĩkiliki [ĩla ĩalyũlĩtwe"" kĩuutani kĩnene kya kĩseve ""ĩandĩkonĩ ya Maliko 4: 37] yonanasya ũkũngi mũnene kana kĩlingi kyũkanĩtye na mbua mbingĩ.",Kamba
"Kelĩ, twenda kwĩthĩwa na ngwatanĩo nzeo na Ngai no nginya twĩmanyĩsye kwĩsiĩĩa tũikelikye maũndũnĩ mataĩle na tũyĩmanyĩsya kũsiĩĩa mĩmeo mĩthũku ndĩkalike ngoonĩ.",Kamba
"Mbivilia nĩwetete ĩũlũ wa kĩkundi kĩla kyaĩ Yelusaleme ĩkyasya atĩĩ: ""Vaiaaĩthĩwa ũmwe wamo waanyivĩwa nĩ kĩndũ.""",Kamba
Kĩla mwaka andũ ngili mbingĩ nĩmavatisawa makatw'ĩka Ngũsĩ sya Yeova.,Kamba
Satani akeetĩkĩlw'a atate kwasya andũ ĩvinda yĩla makethĩwa maitatwa ya mũthya.,Kamba
"Tũiseng'aa tweew'a ũmbano ũsu mũnene weekĩwe Cedar Point, Ohio, mwaka wa 1922, ũiwetwa ta ũmwe katĩ wa maũndũ ala manene maaĩkĩka ũseũvyonĩ wa Yeova!",Kamba
ഓസ്ട്രേലിയയിലുള്ള തവളകളുടെ സംഖ്യാസാന്ദ്രത (population density) അവയുടെ സ്വദേശമായ വെനെസ്വേലയിൽ ഉള്ളതിന്റെ പത്തിരട്ടിവരെ ആയിത്തീർന്നിരിക്കുന്നു.,Malayalam
ഈ ലേഖനം വായിച്ചശേഷം തനിക്ക് ഈ രോഗമുള്ള വിവരം എന്റെ ബൈബിൾ വിദ്യാർഥിനി തുറന്നു പറഞ്ഞു.,Malayalam
അവർ പ്രാ ദേ ശി ക ഭാഷയും ആചാര മ ര്യാ ദ ക ളും പഠിച്ചു വ ര വെ ക്ഷമയോ ടെ ഇടപെ ടു ക.,Malayalam
പ്രകടനത്തിൽ യാതൊരുതരത്തിലുള്ള ക്ലാസ്സിൿ നൃത്ത-സംഗീത ശൈലികളും കണ്ടെടുക്കാനാവാത്ത കാളവേല യഥാർത്ഥത്തിൽ വളരെ പ്രാചീനവും ലളിതവുമായിരുന്ന ഒരു നാടൻ അനുഷ്ഠാനകലയുടെ ജീവിച്ചിരിക്കുന്ന ഏക അവതരണരൂപമായിരിക്കാം.,Malayalam
"Féadfaidh rialacháin arna ndéanamh ag Parlaimint na hEorpa agusag an gComhairle go comhpháirteach, agus ag an gComhairle debhun fhorálacha an Chonartha seo, dlínse neamhtheoranta a thabhairt don Chúirt Bhreithiúnais maidir leis na pionóis dá bhforáiltearsna rialacháin sin.",Irish
"Airteagal 55, Airteagal 56 (3) (b) agus (5), Airteagal 57, Airteagal 58 (a) agus Airteagal 66 (1)",Irish
(iv) cuirtear isteach an dá mhír nua seo a leanas:,Irish
Ní bheidh sé ina cheangal an fheithicil 3000 km a thaispeáint mar atá iarrtha i mír 3.1.1 d 'Iarscríbhinn 4 a ghabhann le Rialachán Uimh.,Irish
"Roimh dó gníomh tarmligthe a ghlacadh, rachaidh an Coimisiún i mbun comhairliúchán le saineolaithe arna n-ainmniú ag gach Ballstát i gcomhréir leis na prionsabail a leagtar síos sa Chomhaontú Idirinstitiúideach an 13 Aibreán 2016 maidir le Reachtóireacht Níos Fearr.",Irish
"Ach de mhaolú arna údarú ag an mBord Gobharnoirí, ag gniomhú dó d 'aon toil ar thogra ón mBord Stiúrthóiri, féadfaidh an Banc iasachtaí a dheonú le haghaidh tionscadal infheistíochta a bheidh le cur in éifeacht, go hiomlán nó go páirteach, lasmuigh de chríocha Eorpacha Ballstát.",Irish
"Tháinig beocht úr i litríocht do pháistí sna caogaidí agus bhláthaigh sí arís sna hochtóidí, a bhuíochas sin ar scríbhneoirí nua a raibh a lán ban ina measc.",Irish
"ciallaíonn ""feithicil shainchuspóireach"" feithicil de chatagóirí M, N nó O ag a bhfuil sainghnéithe teicniúla sonracha lena gcuirtear ar a cumas feidhm a dhéanamh a dteastaíonn córacha speisialta nó trealamh speisialta lena haghaidh;",Irish
"Níl Cill Táile ach 7 ciliméadar ón suíomh stairiúil, Teamhair.",Irish
Déanfar ainmneacha na bhFeisirí a ghlac páirt i mballóid rúnda a thaifeadadh i miontuairiscí an tsuí ar lena linn a seoladh an bhallóid.,Irish
"Diosax mä sutinïtap yatisax kunjamsa jikxatasipxäna, uk yatiñakiw nayra jakäwip jaytañataki ukat uqaranakataki janïr videonakax utjkäna uka maranakan Diosar walja maranak luqtaskakiñatakis yanaptʼäna, ukanakwa yatiyapxiristam.",Central Aymara
Ukat walja escuelanakanxa taqi yatiqirinakan ukankapxañapatakiw amtapxäna ukat nän escuelajas ukhamarakwa amtäna.,Central Aymara
"Amuytʼañataki, kuna lurañanakatï mä sucursalan lurasi ukanak jukʼamp sum uñjañataki ukat suma yatiyäwinak jukʼamp sum yatiyasiñapatakiw walja jiskʼa sucursalanakajj yaqha sucursalanakamp mayachthapisiwayi.",Central Aymara
"Mä amuytʼasiri waynajja, jan walinak lurayañ munatajj kuntï lurkani ukajj kunarus purtʼasiyaspa uk sum amuyasi.",Central Aymara
"Precursorjam walja maranak Diosar serviri, toqesipkäna uka kullakanakarojj mä jilïr irpiriw munasiñampi ewjjtʼäna, ukatsti akham jisktʼasaw amuytʼayarakïna: '¿Mayni jilat kullakanakar llakisiyapjjatamajj walikïskpachati?",Central Aymara
"Хотя уровень депортации из Исламской Республики Иран по политическим мотивам был выше в 2007 году, чем в 2006 году, зарегистрированное на сегодняшний день число репатриантов, составляющее 170 000 человек, только на 14 процентов превышает цифру за 2006 год.",Russian
"Калибр определяется по длине (расстояние от верхушки до основания плода без учета плодоножки), ширине (более широкой части плода - плечу) и весу (с плодоножкой).",Russian
"a) содержание технической маркировки, которая должна присутствовать на продукте (например название / фирменный знак изготовителя, технические характеристики компонента и т.д.);",Russian
"призывает все государства, обладающие ядерным оружием, незамедлительно подписать ДВЗИ в качестве следующего шага в направлении полного ядерного разоружения, учитывая, что ДВЗИ рассматривается как основное обязательство государств, обладающих ядерным оружием, в области предотвращения распространения ядерного оружия;",Russian
Многостороннее природоохранное соглашение может содержать также положения о свободном доступе к информации и обращении с конфиденциальной коммерческой информацией.,Russian
"A / 65 / 403 Пункт 90 - Укрепление режима, установленного в Договоре о запрещении ядерного оружия в Латинской Америке и Карибском бассейне (Договор Тлателолко) - Доклад Первого комитета [А Ар.",Russian
"Ниже приводится информация о просьбах, представленных в 2002 году и связанных с изменением места проведения мероприятий или проведением дополнительных сессий / заседаний.",Russian
ПРИ ОРГАНИЗАЦИИ ОБЪЕДИНЕННЫХ НАЦИЙ ОТ 20 МАЯ 1999 ГОДА НА ИМЯ ГЕНЕРАЛЬНОГО СЕКРЕТАРЯ,Russian
Бюджет Миссии Организации Объединенных Наций в Судане на период с 1 июля 2011 года по 30 июня 2012 года (A / 65 / 731),Russian
د ټرمپ حکومت'غواړي د جوبایډن بریا صورت کې پر ایران د بندیزونو لرې کول ستونزمن کړي',Southern Pasto
ځکه چه يحيىٰ وږے تږے راغے اَؤ هغوئ وائى چه په هغۀ پيرے ناست دے.,Southern Pasto
ښځې سره عقديي چلند او د هغې جنس تر نر کښته ګڼل,Southern Pasto
"یو بدیل ستراتیژي د ""نوي ښارګوټو قصدي ډیزاین او د ښارونو شاوخوا د شنو کمربندونو ساتنه ده.",Southern Pasto
"ښاغلى معتصم چې په دې وروستېو کې يې له تور لست څخه نوم ايستل شوى دى وايي ""موږ باوري يو چې د نړيوالې ټولنې دغه ګامونه به په افغانستان کې د سولې او ثبات د رامنځته کېدا او په دې لړ کې د اسلامي امارت د مشرانو او منسوبينو د لا انعطاف سبب شي"" طالبانو او نورو وسله والو مخالفینو سره خبرو کې یو تر ټولو لوی خنډ د دې تور لست شتون ښودل کېږي. د دې نه وړاندې له دې لسته د یو شمېر کسانو نومونه هم ویستل شوي وو خو له ۱۰۰ نه د زياتو کسانو نومونه په دې لست کې پاتې دي. د طالبانو د سياسي کمېسيون پخواني مشر بي بي سي پښتو سره په ځانګړې مرکې کې وويل چې جگړې په تېرو لسو کالو کې ټولو خواوو ته زيانونه اړولي نو ټولو خواوو ته د جگړې له امله د ور پېښو زيانونو ته په کتلو سره اوس دا اړتيا رامنځته شوې ده چې ښکېلې خواوې نور جګړې ته د پای ټکی کېږدي او خپلې پاتې ستونزې د خبرو اترو او مذاکرې له لارې هوارې کړي. ښاغلى معتصم وايي ""له نيکه مرغه دغه اړتيا ښکېلو اړخونو تر يوه بريده درک کړې ده او په دې برخه کې يې د پام وړ ابتدايي ګامونه هم اخيستي دي. د دغو ګامونو په ترڅ کې د اسلامي امارت له لورې خبرو اترو ته انعطاف او کږون يو د پام وړ ټکی ګڼل کيږي"". ده وويل سولې ته د ښې لارې برابرولو لپاره په کار ده چې نه يوازې تورلست له منځه يوړل شي بلکې اړينه ده چې په گوانټانامو او بگرام کې بندي طالبان پرېښودل شي. له تور لست څخه د ښاغلي معتصم تر لرې کېدلو وروسته دا لومړى ځل دى چې نوموړى له مطبوعاتو سره غږېږي. د افغانستان د چارو ډيرى شننونکي په دې اند دي چې له تورلست څخه د هغه د نوم لرې کول به لږ تر لږه د کړکېچ د هواري لپاره د جدي خبرو پيل کې ډيره مرسته وکړي. ملگري ملتونه هم وايي چې له تور لست څخه د پخوانیو طالب چارواکو د نومونو ایستل له طالبانو سره په سیاسي خبرو اترو کې د افغان حکومت د ورګډېدو د هڅو د ملاتړ یوه پیاوړې نښه ده. دغه راز څو مياشتې وړاندې د ملګرو ملتونو د امنيت شورا د القاعدې او طالبانو د لستونو جلا کړي وو چې د افغان چارو د ډيرو شنونکو په وينا دا د نړيوالو لخوا د سولې د پروسې څخه د ملاتړ لويه نښه ده خو دې سره دا ډول پروسې ته د سيمې د هېوادو ملاتړ هم ډير اړين بلل کېږي.",Southern Pasto
د افغانستان د ملي لوبډلې ورو توپ اچوونکي تر دې دمه د سي پي ایل په سیالیو کې تر نورو توپ اچوونکو اقتصادي توپ اچونه کړې ده.,Southern Pasto
نو بيا که مُونږ سره دَ خوراک اَؤ دَ آغوستو څۀ وى نو په هغے دِ قناعت وکړو.,Southern Pasto
تاسو دَ دُنيا دَ پاره مالګه يئ. که مالګه بے خونده شى نو څنګه به مالګينه شى ؟ دا بيا په هيڅ کار نۀ راځى اَؤ دَ غورزولو اَؤ دَ پښو دَ لاندے کولو جوګه شى.,Southern Pasto
د اناروبيکي ګلایکولیسیس په جريان کې، NAD+ بيا توليديږي کله چې د هايدروجن جوړې له پاروويټ سره يوځای شي تر څو ليکټيټ جوړ کړي.,Southern Pasto
Ibabaga na Biblia ya anggapod pegley na saratan a makapakelkelaw ya agawa si Jehova.,Pangasinan
"Bilang personipikasyon na kakabatan sakbay na inkiwala to bilang too, oniay inkuan nen Jesu - Kristo: ""Say panggayagaan ko wala nensaman ed saray anak na too.""",Pangasinan
"Ed ibaleg na panaguley to tan kareenan anggapo naani anggaan, ed trono nen David, tan ed panarian to, a sikato so iletneg to, tan sikato so ipaalagey to a tekep na inkatunong tan kaptekan a manlapud natan angga ed ando lan ando.",Pangasinan
Say dondon so sankarakepan ya regalo ya inter na sankatageyan ya autoridad.,Pangasinan
Amoria ra met a say 1914 et gapoan na anggaan na sayan sistema na bengabengatla.,Pangasinan
"Paulo ka sɛ: ""Nea ɛyɛ no sɛ ogyina hɔ nhwɛ yiye, na wanhwe ase.""",Twi
"Sɛ ɛnyɛ Franse hene, Francis I a, anka wobuu Lefèvre atɛn sɛ ɔyɛ mmusubɔfo.",Twi
"Bere a adesuafo no tiee saa kasa horow no mu afotu a mfaso wɔ so saa wiei no, wɔkaa osuahu ahorow a na wɔanya wɔ asɛnka adwuma no mu wɔ wɔn asram anum adesua mu no kyerɛe.",Twi
"Nea na ɔnam ne so redi n'atirimpɔw ho dwuma, Ɔhene Herode, hyɛe sɛ wonkunkum Betlehem mmofra a wonnii mfe abien nyinaa.",Twi
anokwafo a wɔtenaa ase ansa na Kristo reba no hɔ?,Twi
"Sɛ ɛtra ha a, na nneɛma a ekurakura wo sẽ no mu te sɛ wo sẽ dompe ne wo sẽ akyi nam no afi ase resɛe.",Twi
"Sekretari i Përgjithshëm Xhorxh Robertson e karakterizoi vendimin për të ftuar Bullgarinë, Estoninë, Letoninë, Lituaninë, Rumaninë, Sllovakinë dhe Slloveninë për të filluar bisedimet e pranimit si ""jashtëzakonisht të rëndësishëm"" për NATO-n dhe bashkësinë Euro-Atlantike.",Tosk Albanian
"do të pijë edhe ai nga vera e zemërimit të Perëndisë, që është derdhur e papërzier në kupën e zemërimit të tij dhe do të mundohet me zjarr e squfur përpara engjëjve të shenjtë dhe përpara Qengjit.",Tosk Albanian
"Secili duhet të zgjedhe një numër nga zero tek 100, do të llogarisim mesataren e atyre numrave, dhe kushdo që i afrohet dy të tretave të mesatares fiton një çmim të caktuar.",Tosk Albanian
"O Zot, dëgjo zërin tim, kur të këlthas ty; ki mëshirë për mua dhe përgjigjmu.",Tosk Albanian
Një organizatë e re e quajtur Business Albania është ngritur në Tiranë për të nxitur zërin e kompanive lokale.,Tosk Albanian
Këshilli i ministrave i Serbi-Malit të Zi në 11 gusht 2003 miratoi pjesëmarrjen e njësive dhe punonjësve të shërbimit të ministrisë së mbrojtjes dhe forcave të armatosura të Serbi-Malit të Zi në operacionet dhe misionet paqeruajtëse të OKB-së.,Tosk Albanian
Zgjerimi i kredisë është një arsye për deficitin në rritje të llogarisë korrente.,Tosk Albanian
"Irani po fiton me të vërtetë një pozitë të madhe në importet e naftës dhe gazit të Turqisë, ""tha Mete Goknel, ish drejtor i kompanisë shtetërore BOTAS të Turqisë.",Tosk Albanian
"atsižvelgiant į tai, kad informaciją, kuria keičiamasi pagal Direktyvos 2011 / 16 / ES 8 straipsnio 3a dalį, duomenis teikiančios finansų įstaigos turi surinkti laikydamosi Direktyvos 2011 / 16 / ES I ir II prieduose išdėstytų taikytinų duomenų teikimo ir išsamaus patikrinimo taisyklių ir todėl keitimuisi netaikoma sąlyga turėti informaciją, priešingai, naudotinas kompiuterinis formatas turėtų būti išplėstas, kad būtų kuo išsamesnis ir apimtų kiekvieną elementą kartu su atitinkamais jo požymiais, jei jų esama;",Lithuanian
"Kartu su savo 2016 m. vasario 18 d. raštu bendrovė ""Apple"" pateikė atnaujintą [""Apple"" mokesčių konsultanto] ad hoc ataskaitą, kurioje pateikta papildoma analizė, parengta atsižvelgiant į medžiagą, pateiktą nuo tos ataskaitos parengimo (antroji [""Apple"" mokesčių konsultanto] ad hoc ataskaita).",Lithuanian
"Parengiamuosiuose teisės aktuose nustatyta, kad kelių sauga turi būti užtikrinta ir vykstant rinkos atvėrimo procesui, ir jam pasibaigus.",Lithuanian
"Susipažinęs su nuomonės projektu, pristatytu pranešėjo arba, prireikus, pagalbinio pranešėjo, specializuotas skyrius parengia nuomonę.",Lithuanian
Įplaukimo vieta (žr. išsamią informaciją apie POS sudedamuosius elementus ir požymius),Lithuanian
